,Nava Representation,Tokenized Lemmatized
1060,"[u'perfect', u'postparty', u'come', u'spliff', u'chill', u'get', u'gramophones']","[u'perfect', u'for', u'the', u'postparty', u'come', u'down', u'spliff', u'up', u'chill', u'out', u'and', u'get', u'one', u'dove', u'on', u'them', u'gramophones']"
1061,"[u'strategically', u'war', u'full', u'crack', u'identify', u'principal']","[u'rhetorically', u'and', u'strategically', u'the', u'war', u'was', u'in', u'full', u'swing', u'before', u'crack', u'was', u'identified', u'as', u'the', u'principal', u'enemy']"
1062,"[u'limitation', u'impose', u'host', u'scruple', u'anthropologist', u'mix', u'local', u'become', u'life', u'soul', u'party']","[u'within', u'the', u'limitations', u'imposed', u'by', u'his', u'hosts', u'and', u'his', u'own', u'inhibitions', u'and', u'scruples', u'the', u'anthropologist', u'has', u'to', u'mix', u'in', u'with', u'local', u'society', u'and', u'become', u'the', u'life', u'and', u'soul', u'of', u'the', u'party']"
1063,"[u'say', u'pull', u'leg']","[u'i', u'said', u'i', u'was', u'only', u'pulling', u'your', u'leg']"
1064,"[u'bring', u'usual', u'laughter', u'request', u'pull', u'stop']","[u'this', u'brought', u'forth', u'the', u'usual', u'gales', u'of', u'laughter', u'and', u'requests', u'to', u'pull', u'the', u'other', u'one', u'stop', u'having', u'them', u'on', u'etc']"
1065,"[u'make', u'joke', u'pause', u'punch', u'line']","[u'if', u'you', u'make', u'a', u'joke', u'pause', u'before', u'the', u'punch', u'line']"
1066,"[u'take', u'come']","[u'you', u'll', u'have', u'to', u'take', u'it', u'easy', u'when', u'you', u'do', u'come', u'out']"
1067,"[u'want', u'stay', u'cloud']","[u'they', u'just', u'want', u'to', u'stay', u'on', u'cloud', u'nine']"
1068,"[u'dump', u'shell', u'leave', u'day', u'numbered']","[u'a', u'few', u'months', u'ago', u'hardyman', u'was', u'down', u'in', u'the', u'dumps', u'sunderland', u'had', u'shelled', u'out', u'350', u'000', u'for', u'another', u'left', u'back', u'anton', u'rogan', u'and', u'his', u'days', u'at', u'roker', u'looked', u'numbered']"
1069,"[u'grin', u'ear', u'ear', u'first', u'doubt', u'needle', u'heart']","[u'he', u'was', u'grinning', u'from', u'ear', u'to', u'ear', u'and', u'the', u'first', u'stabs', u'of', u'doubt', u'needled', u'at', u'ruth', u's', u'heart']"
1070,"[u'hunch', u'picture', u'hopelessness', u'heart', u'sink']","[u'the', u'hunched', u'figure', u'is', u'such', u'a', u'picture', u'of', u'hopelessness', u'that', u'the', u'heart', u'sinks']"
1071,[u'moon'],"[u'they', u'are', u'both', u'over', u'the', u'moon']"
1072,[u'seventh'],"[u'gould', u'was', u'in', u'seventh', u'heaven']"
1073,"[u'thrilled', u'bit']","[u'oh', u'yes', u'absolutely', u'thrilled', u'to', u'bits']"
1074,"[u'attend', u'wedding', u'party', u'close', u'time', u'life']","[u'if', u'attending', u'a', u'wedding', u'or', u'party', u'of', u'close', u'friends', u'you', u'should', u'have', u'the', u'time', u'of', u'your', u'life']"
1075,"[u'top', u'world']","[u'britain', u'was', u'on', u'top', u'of', u'the', u'world']"
1076,"[u'everything', u'easier', u'people', u'experience', u'walk', u'air', u'walk', u'moon']","[u'everything', u'becomes', u'so', u'much', u'easier', u'and', u'some', u'people', u'have', u'an', u'experience', u'akin', u'to', u'walking', u'on', u'air', u'or', u'walking', u'on', u'the', u'moon']"
1077,"[u'go', u'banana', u'think', u'get', u'lay']","[u'victor', u'will', u'go', u'bananas', u'and', u'rachel', u'will', u'think', u'i', u'got', u'laid']"
1078,"[u'american', u'teen', u'space', u'dreamer', u'someone', 'not_all']","[u'in', u'american', u'teen', u'slang', u'vini', u'is', u'a', u'space', u'a', u'dreamer', u'someone', u'not', u'all', u'there']"
1079,"[u'important', u'tell', u'original', u'could', u'humble', u'see', u'change', u'mind', u'stuck', u'thing', u'end', u'next', 'not_eat']","[u'but', u'since', u'they', u'were', u'very', u'important', u'people', u'who', u'told', u'the', u'original', u'lies', u'they', u'could', u'not', u'eat', u'humble', u'pie', u'and', u'be', u'seen', u'to', u'change', u'their', u'minds', u'so', u'we', u'are', u'stuck', u'with', u'the', u'thing', u'until', u'the', u'end', u'of', u'the', u'next', u'century']"
1080,"[u'could', u'take', u'trial', u'error', u'discover', u'correct', u'may', u'need', u'chart', u'person', u'pattern']","[u'it', u'could', u'take', u'some', u'trial', u'and', u'error', u'to', u'discover', u'the', u'correct', u'interval', u'and', u'you', u'may', u'need', u'to', u'chart', u'the', u'person', u's', u'pattern']"
1081,"[u'mean', u'right', u'sleep', u'mother', u'quite', u'do', 'not_is']","[u'you', u'mean', u'it', u'is', u'all', u'right', u'to', u'sleep', u'with', u'you', u'under', u'your', u'own', u'roof', u'with', u'your', u'mother', u'there', u'although', u'it', u'is', u'not', u'quite', u'the', u'done', u'thing', u'here']"
1082,"[u'pwr', u'heel', u'steam', u'generator', u'tube']","[u'if', u'the', u'pwrs', u'have', u'an', u'achilles', u'heel', u'it', u'is', u'their', u'steam', u'generator', u'tubes']"
1083,"[u'try', u'interrogate', u'officer', u'would', u'ask', u'trouble']","[u'trying', u'to', u'interrogate', u'officers', u'of', u'the', u'grand', u'army', u'would', u'have', u'been', u'asking', u'for', u'trouble']"
1084,"[u'light', u'show', u'dozen', u'way', u'wall']","[u'the', u'light', u'showed', u'dozens', u'of', u'them', u'all', u'the', u'way', u'back', u'to', u'the', u'wall']"
1085,[u'catch'],"[u'again', u'there', u'is', u'nothing', u'catch', u'22', u'about', u'this']"
1086,"[u'wall', u'seem', u'meet', u'overhead', u'block', u'sky', u'chill', u'wind', u'blow', u'approach', u'impasse', u'head', u'gully']","[u'the', u'walls', u'seem', u'to', u'meet', u'overhead', u'to', u'block', u'out', u'the', u'sky', u'and', u'a', u'chill', u'wind', u'blows', u'as', u'we', u'approach', u'the', u'impasse', u'at', u'the', u'head', u'of', u'the', u'gully']"
1087,"[u'vital', u'centralise', u'crux', u'matter']","[u'all', u'those', u'vital', u'issues', u'are', u'to', u'be', u'rigidly', u'centralised', u'and', u'that', u'is', u'the', u'crux', u'of', u'the', u'matter']"
1088,"[u'couple', u'week', u'leave', u'high', u'dry', u'partner']","[u'it', u'was', u'a', u'couple', u'of', u'weeks', u'before', u'and', u'i', u'was', u'left', u'high', u'and', u'dry', u'without', u'a', u'partner']"
1089,"[u'last', u'call', u'total', u'present']","[u'as', u'a', u'last', u'resort', u'you', u'can', u'call', u'out', u'the', u'total', u'number', u'of', u'those', u'present']"
1090,"[u'lose', u'loadsa', u'fuzzies', u'must', u'get', u'sync', u'possible']","[u'with', u'this', u'demon', u'you', u'will', u'lose', u'loadsa', u'fuzzies', u'so', u'you', u'must', u'get', u'out', u'of', u'sync', u'as', u'soon', u'as', u'possible']"
1091,"[u'easier', u'pass', u'buck', u'bos', u'staff', u'person', u'committee']","[u'isn', u't', u'it', u'easier', u'to', u'pass', u'the', u'buck', u'to', u'your', u'boss', u'some', u'staff', u'person', u'or', u'a', u'committee']"
1092,"[u'spite', u'recent', u'emotional', u'conflict', u'must', u'put', u'brave', u'allow', u'others', u'share', u'load']","[u'in', u'spite', u'of', u'recent', u'emotional', u'dramas', u'or', u'conflicts', u'you', u'must', u'put', u'on', u'a', u'brave', u'face', u'and', u'allow', u'others', u'to', u'share', u'your', u'load']"
1093,"[u'defence', u'cut', u'could', u'stumble', u'block']","[u'defence', u'cuts', u'could', u'also', u'be', u'a', u'stumbling', u'block']"
1094,[u'teethe'],"[u'but', u'there', u'are', u'more', u'than', u'a', u'few', u'teething', u'problems']"
1095,"[u'come', u'tight', u'smell', u'rose']","[u'you', u'come', u'out', u'of', u'a', u'tight', u'spot', u'smelling', u'of', u'roses']"
1096,[u'unmitigated'],"[u'for', u'africa', u'meanwhile', u'the', u'1980s', u'have', u'been', u'an', u'almost', u'unmitigated', u'disaster']"
1097,"[u'run', u'target', u'hitch', u'reach', u'friend']","[u'we', u'ran', u'towards', u'our', u'target', u'king', u'kong', u's', u'massive', u'back', u'without', u'a', u'hitch', u'and', u'i', u'reached', u'it', u'just', u'ahead', u'of', u'my', u'friend']"
1098,"[u'natural', u'time', u'recession', u'batten', u'hatch', u'look', u'sell', u'raffle', u'ticket', u'aid', u'livestock', u'project', u'people', u'support', u'scheme', u'cheerful']","[u'a', u'natural', u'tendency', u'in', u'times', u'of', u'recession', u'is', u'to', u'batten', u'down', u'the', u'hatches', u'and', u'look', u'after', u'our', u'own', u'needs', u'but', u'as', u'we', u'sold', u'raffle', u'tickets', u'in', u'aid', u'of', u'our', u'livestock', u'projects', u'in', u'uganda', u'people', u'at', u'the', u'royal', u'certainly', u'supported', u'our', u'scheme', u'with', u'cheerful', u'generosity']"
1099,[u'close'],"[u'phew', u'that', u'was', u'a', u'close', u'shave']"
1100,"[u'seat', u'know', u'false', u'could', u'mean', u'might', u'descend', u'moment']","[u'seated', u'where', u'he', u'is', u'rhys', u'williams', u'knows', u'one', u'false', u'move', u'could', u'mean', u'the', u'might', u'of', u'god', u'descending', u'on', u'him', u'at', u'any', u'moment']"
1101,"[u'look', u'leap']","[u'look', u'before', u'you', u'leap']"
1102,"[u'mounting', u'must', u'secure', u'position', u'harm', u'way', u'possible']","[u'the', u'mounting', u'must', u'be', u'fully', u'secure', u'and', u'in', u'a', u'position', u'as', u'far', u'out', u'of', u'harm', u's', u'way', u'as', u'possible']"
1103,"[u'reassuring', u'know', u'safe']","[u'but', u'it', u'is', u'very', u'reassuring', u'to', u'know', u'i', u'am', u'in', u'safe', u'hands', u'here']"
1104,"[u'best', u'take', u'look', u'safe']","[u'i', u'had', u'best', u'take', u'a', u'look', u'just', u'to', u'be', u'on', u'the', u'safe', u'side']"
1105,"[u'there', u'defamation', u'law', u'certain', u'number']","[u'there', u'is', u'in', u'defamation', u'law', u'a', u'certain', u'safety', u'in', u'numbers']"
1106,"[u'issue', u'stake', u'content', u'final', 'not_is']","[u'yet', u'the', u'issue', u'at', u'stake', u'is', u'not', u'merely', u'the', u'content', u'of', u'the', u'final', u'examination']"
1107,"[u'massacre', u'unable', u'take', u'cover', u'warning', u'whistle', u'shell', u'prohibitive']","[u'the', u'massacre', u'of', u'the', u'horses', u'unable', u'to', u'take', u'cover', u'upon', u'the', u'warning', u'whistle', u'of', u'a', u'shell', u'had', u'become', u'prohibitive']"
1108,"[u'man', u'tell', u'court', u'yesterday', u'fall', u'asleep', u'wheel', u'friend', u'die', u'head', u'crash', u'lorry']","[u'an', u'raf', u'man', u'told', u'a', u'court', u'yesterday', u'how', u'he', u'had', u'fallen', u'asleep', u'at', u'the', u'wheel', u'of', u'a', u'land', u'rover', u'before', u'his', u'friend', u'died', u'in', u'a', u'head', u'on', u'crash', u'with', u'a', u'lorry', u'on', u'the', u'a1']"
1109,"[u'impossible', u'anticipate', u'eventuality', u'guide', u'must', u'source', u'difficulty', u'implementation', u'select', u'conduct', u'investigation', u'assistance', u'give', 'not_lie', 'not_assessed']","[u'it', u'is', u'clearly', u'impossible', u'to', u'anticipate', u'every', u'eventuality', u'but', u'the', u'guiding', u'principle', u'must', u'be', u'that', u'if', u'the', u'source', u'of', u'difficulty', u'does', u'not', u'lie', u'in', u'the', u'implementation', u'of', u'a', u'selected', u'strategy', u'and', u'is', u'not', u'being', u'assessed', u'during', u'the', u'conduct', u'of', u'the', u'investigation', u'then', u'assistance', u'can', u'be', u'given']"
1110,"[u'retire', u'sleep', u'year']","[u'he', u'retired', u'formally', u'from', u'harland', u'wolff', u'in', u'1906', u'although', u'effectively', u'he', u'had', u'been', u'a', u'sleeping', u'partner', u'for', u'over', u'ten', u'years']"
1111,"[u'something', u'would', u'square', 'not_break', 'not_break']","[u'if', u'something', u'did', u'not', u'break', u'and', u'soon', u'they', u'would', u'be', u'back', u'to', u'square', u'one']"
1112,"[u'long', u'bear', u'fruit', u'international', u'launch', u'design', u'suitable']","[u'not', u'until', u'1985', u'however', u'did', u'the', u'long', u'debate', u'bear', u'fruit', u'when', u'an', u'international', u'competition', u'was', u'launched', u'to', u'design', u'a', u'suitable', u'building']"
1113,"[u'find', u'record', u'unsatisfactory', u'cut', u'loss', u'reverse', u'beginning']","[u'if', u'you', u'do', u'find', u'that', u'you', u'have', u'recorded', u'an', u'unsatisfactory', u'shot', u'cut', u'your', u'losses', u'there', u'and', u'then', u'by', u'reversing', u'back', u'to', u'the', u'beginning']"
1114,"[u'make', u'sure', u'face', u'great', 'not_fall']","[u'we', u'have', u'to', u'make', u'sure', u'we', u'do', u'not', u'fall', u'flat', u'on', u'our', u'faces', u'after', u'a', u'great', u'win', u'at', u'west', u'brom']"
1115,"[u'dramatic', u'grace', u'case']","[u'perhaps', u'the', u'most', u'dramatic', u'fall', u'from', u'grace', u'was', u'the', u'case', u'of', u'hu', u'yaobang']"
1116,"[u'short', u'pan', 'not_flash']","[u'she', u'is', u'no', u'short', u'term', u'flash', u'in', u'the', u'pan']"
1117,"[u'his', u'parting', u'advice', u'interested', u'take', u'challenge', u'keep', u'ear', u'ground', u'wheel', u'get', u'foot', u'door']","[u'his', u'parting', u'advice', u'to', u'those', u'interested', u'in', u'taking', u'the', u'challenge', u'was', u'keep', u'an', u'ear', u'to', u'the', u'ground', u'your', u'back', u'to', u'the', u'wheel', u'and', u'get', u'your', u'foot', u'in', u'the', u'door']"
1118,"[u'drug', u'baron', u'limousine', u'go', u'smoke']","[u'drug', u'baron', u's', u'limousines', u'go', u'up', u'in', u'smoke']"
1119,"[u'fake', u'get', u'make']","[u'if', u'you', u'can', u'fake', u'those', u'you', u'have', u'got', u'it', u'made']"
1120,"[u'enjoy', u'stunning', u'landslide']","[u'nationally', u'the', u'labour', u'party', u'had', u'enjoyed', u'a', u'stunning', u'landslide', u'victory']"
1121,"[u'skint', u'go', u'leap', u'bound']","[u'i', u'have', u'become', u'skint', u'while', u'woking', u'have', u'gone', u'on', u'in', u'leaps', u'and', u'bounds']"
1122,"[u'fortune', u'wartime', u'low']","[u'the', u'fortunes', u'of', u'wartime', u'britain', u'were', u'at', u'a', u'low', u'ebb', u'in', u'july', u'1941']"
1123,"[u'think', u'make', u'go']","[u'i', u'think', u'they', u'will', u'make', u'a', u'go', u'of', u'it']"
1124,"[u'differential', u'increase', u'cause', u'compound', u'rod', u'bend', u'make', u'break', u'electrical']","[u'differential', u'expansion', u'with', u'increasing', u'temperature', u'causes', u'the', u'compound', u'rod', u'to', u'bend', u'and', u'make', u'or', u'break', u'electrical', u'contact']"
1125,"[u'level', u'student', u'reach', u'moment', u'truth']","[u'a', u'level', u'students', u'reach', u'the', u'moment', u'of', u'truth']"
1126,"[u'picture', u'want', u'people', u'know']","[u'i', u'have', u'been', u'out', u'of', u'the', u'picture', u'so', u'long', u'that', u'i', u'just', u'want', u'people', u'to', u'know', u'what', u'i', u'am', u'about']"
1127,"[u'go', u'mind', u'pack']","[u'after', u'joveworth', u'went', u'i', u'was', u'really', u'in', u'two', u'minds', u'as', u'to', u'whether', u'to', u'pack', u'it', u'in']"
1128,"[u'rag', u'rich', u'american', u'live']","[u'if', u'rags', u'to', u'riches', u'is', u'still', u'the', u'american', u'dream', u'william', u'casey', u'lived', u'his', u'own', u'version', u'of', u'it']"
1129,"[u'get', u'suitcase', u'fury', u'rid', u'high', u'begin', u'throw', u'belonging']","[u'getting', u'out', u'her', u'suitcase', u'and', u'with', u'her', u'fury', u'riding', u'high', u'she', u'began', u'throwing', u'her', u'belongings', u'into', u'it']"
1130,"[u'contrast', u'present', u'expect', u'sail', u'little', u'scatter']","[u'by', u'contrast', u'his', u'present', u'legislation', u'is', u'expected', u'to', u'sail', u'through', u'with', u'little', u'more', u'than', u'some', u'scattered', u'shots', u'from', u'the', u'parti', u'qubcois']"
1131,"[u'bank', u'newcomer', u'sink', u'swim', 'not_leave']","[u'the', u'ohio', u'bank', u'does', u'not', u'leave', u'its', u'newcomers', u'to', u'sink', u'or', u'swim', u'by', u'themselves']"
1132,"[u'want', u'part', u'fill', u'entry', u'form']","[u'if', u'you', u'want', u'to', u'be', u'a', u'part', u'of', u'top', u'dog', u'91', u'fill', u'in', u'the', u'entry', u'form', u'opposite', u'and', u'do', u'it', u'now']"
1133,"[u'context', u'financial', u'associate', u'diversified', u'risk', u'spread', u'serve', u'help', u'weather', u'storm']","[u'in', u'this', u'context', u'the', u'financial', u'muscle', u'associated', u'with', u'a', u'more', u'diversified', u'grouping', u'where', u'risks', u'are', u'spread', u'more', u'evenly', u'can', u'serve', u'to', u'help', u'weather', u'the', u'storm']"
1134,"[u'sip', u'wooden', u'stain', u'part', u'wispy', u'bright']","[u'he', u'sipped', u'some', u'from', u'a', u'wooden', u'spoon', u'and', u'stained', u'part', u'of', u'his', u'wispy', u'beard', u'a', u'bright', u'orange']"
1135,"[u'bolt', u'blue', u'logical', u'next', u'process', u'begin', u'1970s', u'concept', u'urban', u'central', u'local', 'not_is']","[u'however', u'the', u'udc', u'is', u'not', u'a', u'bolt', u'from', u'the', u'blue', u'rather', u'it', u'is', u'the', u'logical', u'next', u'step', u'in', u'a', u'process', u'which', u'began', u'in', u'the', u'1970s', u'with', u'the', u'concept', u'of', u'urban', u'aid', u'and', u'of', u'central', u'intervention', u'in', u'local', u'affairs']"
1136,"[u'materialize', u'blue']","[u'why', u'should', u'he', u'suddenly', u'have', u'materialized', u'out', u'of', u'the', u'blue']"
1137,"[u'jaw', u'drop', u'conscious', u'sliver', u'tender', u'slip', u'heart']","[u'theda', u's', u'jaw', u'dropped', u'perceptibly', u'and', u'she', u'was', u'conscious', u'of', u'a', u'sliver', u'of', u'tender', u'warmth', u'slipping', u'into', u'her', u'heart']"
1138,"[u'startle', u'sudden', u'root', u'spot']","[u'so', u'startled', u'was', u'he', u'by', u'this', u'sudden', u'onslaught', u'ryker', u'momentarily', u'froze', u'rooted', u'to', u'the', u'spot']"
1139,"[u'son', u'strike', u'dumb', u'terror', u'saw', u'murder', u'tomorrow']","[u'rachel', u's', u'son', u'alexander', u'struck', u'dumb', u'with', u'terror', u'after', u'he', u'saw', u'her', u'murdered', u'is', u'three', u'tomorrow']"
1140,"[u'lecture', u'concert', u'give', u'topic', u'current', u'choose', u'free', u'comer']","[u'lectures', u'and', u'concerts', u'were', u'to', u'be', u'given', u'for', u'which', u'topics', u'of', u'current', u'interest', u'should', u'be', u'very', u'carefully', u'chosen', u'and', u'which', u'had', u'to', u'be', u'free', u'for', u'all', u'comers']"
1141,"[u'conspicuous', u'financial', u'combatant', u'make', u'earlier', u'anglo', u'french']","[u'the', u'most', u'conspicuous', u'financial', u'gains', u'by', u'english', u'combatants', u'were', u'made', u'in', u'the', u'earlier', u'phase', u'of', u'the', u'anglo', u'french', u'wars', u'or', u'in', u'the', u'wars', u'with', u'scotland']"
1142,"[u'moot', u'hierarchy', u'exist', u'process']","[u'it', u'is', u'a', u'moot', u'point', u'whether', u'hierarchies', u'exist', u'outside', u'our', u'own', u'thought', u'processes']"
1143,"[u'exercise', u'perform', u'sit', u'chair', u'use', u'support', u'floor', u'exercise', u'question']","[u'some', u'exercises', u'they', u'perform', u'sitting', u'on', u'chairs', u'or', u'using', u'them', u'for', u'support', u'but', u'floor', u'exercises', u'have', u'been', u'out', u'of', u'the', u'question']"
1144,"[u'look', u'set', u'long', u'run']","[u'microsoft', u'windows', u'for', u'workgroups', u'vs', u'lotus', u'notes', u'looks', u'set', u'to', u'be', u'a', u'long', u'running', u'battle']"
1145,"[u'say', u'last', u'water', u'bridge']","[u'mr', u'proctor', u'said', u'last', u'night', u'that', u'it', u'was', u'all', u'water', u'under', u'the', u'bridge']"
1146,"[u'yesterday', u'prosecutor', u'say', u'suffer', u'lot', u'bruise', u'attack', u'boy', u'catch', u'crossfire']","[u'at', u'sedgefield', u'magistrates', u'court', u'yesterday', u'prosecutor', u'richard', u'parcell', u'said', u'miss', u'batey', u'suffered', u'a', u'lot', u'of', u'bruising', u'in', u'the', u'attack', u'and', u'the', u'boy', u'was', u'caught', u'in', u'the', u'crossfire']"
1147,"[u'could', u'bygone', 'not_let']","[u'why', u'could', u'not', u'god', u'let', u'bygones', u'be', u'bygones']"
1148,"[u'let', u'sleep', u'lie']","[u'let', u'sleeping', u'dogs', u'lie']"
1149,[u'loggerhead'],"[u'ibm', u'and', u'hitachi', u'are', u'still', u'at', u'loggerheads']"
1150,"[u'begin', u'argue', u'toss', u'liberal', u'various', u'academic', u'difficult', u'exclude']","[u'however', u'once', u'one', u'begins', u'to', u'argue', u'the', u'toss', u'about', u'the', u'liberal', u'value', u'of', u'various', u'academic', u'subjects', u'it', u'becomes', u'difficult', u'to', u'exclude', u'any', u'of', u'them']"
1151,"[u'sparrow', u'hawk', u'appear', u'hell', u'break']","[u'a', u'sparrow', u'hawk', u'appeared', u'and', u'all', u'hell', u'broke', u'loose']"
1152,"[u'cheese', u'meet', u'people', u'ridge', u'explanation', u'start', u'point']","[u'maybe', u'he', u'was', u'cheesed', u'off', u'meeting', u'people', u'so', u'far', u'along', u'the', u'ridge', u'without', u'explanation', u'as', u'to', u'their', u'start', u'point']"
1153,"[u'take', u'head', u'give', u'rest']","[u'take', u'your', u'head', u'off', u'and', u'give', u'it', u'a', u'rest']"
1154,"[u'good', 'not_accept']","[u'if', u'they', u'cannot', u'accept', u'me', u'as', u'i', u'am', u'good', u'riddance']"
1155,"[u'hot', u'collar', u'different']","[u'the', u'other', u'customers', u'were', u'almost', u'as', u'hot', u'under', u'the', u'collar', u'as', u'phyllis', u'but', u'for', u'very', u'different', u'reasons']"
1156,"[u'hate', u'rave', u'thing', u'do']","[u'i', u'hate', u'it', u'i', u'rant', u'and', u'rave', u'i', u'never', u'like', u'things', u'i', u'have', u'done']"
1157,"[u'miss', u'chance', u'see', u'red', u'roe', u'leave', u'cover', u'reed', u'bed']","[u'don', u't', u'miss', u'these', u'two', u'chances', u'to', u'see', u'red', u'deer', u'and', u'roe', u'deer', u'as', u'they', u'leave', u'the', u'cover', u'of', u'their', u'reed', u'beds', u'in', u'the', u'leighton', u'moss', u'nature', u'reserve']"
1158,"[u'responsible', u'handle', u'short', u'help', u'think', u'hundred', u'game', u'play', 'not_trouble']","[u'that', u'wright', u'is', u'ultimately', u'responsible', u'for', u'handling', u'his', u'short', u'fuse', u'and', u'to', u'help', u'him', u'do', u'that', u'think', u'back', u'to', u'the', u'hundreds', u'of', u'games', u'he', u'is', u'played', u'when', u'there', u'has', u'been', u'no', u'trouble']"
1159,"[u'bath', u'draw', u'foam', u'white', u'thick', u'mirror', u'steam']","[u'the', u'bath', u'was', u'soon', u'drawn', u'the', u'foam', u'white', u'and', u'thick', u'the', u'mirrors', u'steamed', u'up']"
1160,"[u'boxing', u'join', u'unholy', u'wait', u'bated', u'bet', u'slip', u'outcome', u'fight', u'rely', u'restore', u'credibility', u'heavyweight', u'division']","[u'boxing', u'and', u'las', u'vegas', u'joined', u'in', u'very', u'unholy', u'matrimony', u'are', u'waiting', u'with', u'bated', u'breath', u'and', u'heavily', u'baited', u'betting', u'slips', u'for', u'the', u'outcome', u'of', u'a', u'fight', u'that', u'can', u'be', u'almost', u'relied', u'upon', u'to', u'restore', u'some', u'credibility', u'to', u'the', u'heavyweight', u'division']"
1161,"[u'architect', u'require', u'client', u'prepared', u'aim', u'absolute', u'vision', u'nerve', u'steel']","[u'to', u'do', u'so', u'an', u'architect', u'requires', u'a', u'client', u'who', u'is', u'prepared', u'to', u'aim', u'high', u'has', u'absolute', u'faith', u'in', u'his', u'vision', u'and', u'nerves', u'of', u'steel']"
1162,"[u'patient', u'back', u'say', u'scared', u'stiff']","[u'the', u'patient', u'with', u'back', u'pain', u'will', u'say', u'i', u'am', u'scared', u'stiff']"
1163,"[u'remainder', u'carol', u'tenterhook', u'take', u'eye', u'lectern', 'not_daring']","[u'for', u'the', u'remainder', u'of', u'the', u'carol', u'i', u'was', u'on', u'tenterhooks', u'not', u'daring', u'to', u'take', u'my', u'eyes', u'from', u'the', u'lectern']"
1164,"[u'mixture', u'natural', u'mechanical', u'make', u'absorb', u'feeling', u'half', u'overcome', u'keep', u'excitement', u'capture', u'fever', u'pitch']","[u'it', u'is', u'this', u'mixture', u'of', u'natural', u'and', u'mechanical', u'sound', u'that', u'makes', u'ecim', u'so', u'absorbing', u'where', u'the', u'feeling', u'that', u'one', u'half', u'will', u'overcome', u'the', u'other', u'keeps', u'the', u'excitement', u'captured', u'here', u'at', u'a', u'fever', u'pitch']"
1165,"[u'bored', u'tear']","[u'we', u're', u'bored', u'to', u'tears', u'down', u'here']"
1166,"[u'might', u'look', u'home', u'make', u'general']","[u'gentleman', u'might', u'look', u'close', u'to', u'home', u'before', u'he', u'makes', u'that', u'general', u'assertion']"
1167,"[u'get', u'calm', 'not_worked']","[u'i', u'did', u'not', u'get', u'worked', u'up', u'about', u'that', u'i', u'am', u'always', u'pretty', u'calm']"
1168,"[u'piece', 'not_go']","[u'you', u'cannot', u'go', u'to', u'pieces']"
1169,"[u'power', u'prepared', u'run', u'wall', u'hard', u'nail', u'take', 'not_prisoners']","[u'power', u'is', u'prepared', u'to', u'run', u'through', u'a', u'wall', u'willie', u'o', u'connor', u'is', u'as', u'hard', u'as', u'nails', u'and', u'liam', u'simpson', u'takes', u'no', u'prisoners']"
1170,"[u'end', u'era', u'wish', 'not_hard']","[u'it', u's', u'the', u'end', u'of', u'an', u'era', u'but', u'there', u'are', u'no', u'hard', u'feelings', u'and', u'we', u'wish', u'him', u'well']"
1171,"[u'letter', u'describe', u'try', u'put', u'nose', u'joint', u'play', u'glockenspiel', u'time', u'wing']","[u'in', u'another', u'letter', u'he', u'describes', u'how', u'he', u'impishly', u'tried', u'to', u'put', u'schikaneder', u's', u'nose', u'out', u'of', u'joint', u'by', u'playing', u'the', u'glockenspiel', u'out', u'of', u'time', u'from', u'the', u'wings']"
1172,"[u'pleased', u'punch']","[u'he', u'sounded', u'pleased', u'as', u'punch', u'for', u'me']"
1173,"[u'property', u'guest', u'let', u'steam', u'bartender', u'room', u'late', 'not_ready']","[u'in', u'a', u'us', u'property', u'a', u'guest', u'let', u'off', u'steam', u'to', u'the', u'bartender', u'because', u'his', u'room', u'was', u'not', u'ready', u'and', u'it', u'was', u'already', u'late']"
1174,"[u'bubble', u'steam']","[u'the', u'bubble', u'steamed', u'up']"
1175,"[u'bed', u'comfortable', u'large', u'shout', u'sweet']","[u'the', u'bed', u'was', u'comfortable', u'and', u'so', u'large', u'you', u'had', u'to', u'shout', u'sweet', u'nothings']"
1176,"[u'tenterhook', u'twin']","[u'i', u'am', u'really', u'on', u'tenterhooks', u'about', u'the', u'twins']"
1177,"[u'wonderful', u'think', u'world']","[u'and', u'what', u'is', u'even', u'more', u'wonderful', u'they', u'all', u'think', u'the', u'world', u'of', u'each', u'other']"
1178,"[u'location', u'nothing', u'life', u'soul', u'party']","[u'on', u'location', u'in', u'australia', u'he', u'was', u'nothing', u'if', u'not', u'the', u'life', u'and', u'soul', u'of', u'the', u'party']"
1179,"[u'pull', u'leg']","[u'it', u's', u'all', u'right', u'robbie', u'i', u'was', u'pulling', u'your', u'leg']"
1180,"[u'moment', u'hour']","[u'at', u'that', u'moment', u'and', u'perhaps', u'for', u'an', u'hour', u'afterwards', u'i', u'was', u'on', u'cloud', u'nine']"
1181,"[u'wish', u'could', u'help', u'mouth', u'hunch', u'stove']","[u'i', u'wished', u'i', u'could', u'help', u'him', u'then', u'he', u'looked', u'so', u'down', u'in', u'the', u'mouth', u'hunched', u'up', u'by', u'the', u'stove']"
1182,"[u'get', u'open', u'door', u'heart', u'sink', u'see', u'stand']","[u'he', u'gets', u'up', u'opens', u'the', u'door', u'and', u'his', u'heart', u'sinks', u'seeing', u'tommy', u'standing', u'there', u'with', u'iain']"
1183,[u'moon'],"[u'i', u'was', u'over', u'the', u'moon']"
